ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᓯᕕᖓᓂᖓᓂᒃ	ᓯᕕᖓ@ᓂ@ᖓᓂᒃ
ᐊᐅᓚᑕᐅᔪᐃᓐᓇᐅᒻᒪᑕ	ᐊᐅᓚ@ᑕ@ᐅ@ᔪᐃᓐ@ᓇ@ᐅ@ᒻᒪᑕ
ᐃᖅᑲᓇᐃᔮᕆᔪᒪᔭᒧᑦ	ᐃᖅᑲᓇᐃᔮ@ᕆ@ᔪᒪ@ᔭ@ᒧᑦ
ᑕᓗᕐᔪᐊᓂᓗ	ᑕᓗ@ᕐᔪᐊ@ᓂ@ᓗ
ᑐᕌᖓᓂᖓᓂᒃ	ᑐᕌ@ᖓ@ᓂ@ᖓᓂᒃ
ᐱᕙᓪᓕᐊᔭᐅᔪᑦ	ᐱ@ᕙᓪᓕᐊ@ᔭ@ᐅ@ᔪᑦ
ᖃᓂᒋᓂᖅᓴᖓᓂᒃ	ᖃᓂ@ᒋ@ᓂᖅᓴ@ᖓᓂᒃ
ᓴᓇᔭᐅᕙᓪᓕᐊᖕᒪᑦ	ᓴᓇ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᖕᒪᑦ
ᐅᓄᖅᑐᒻᒪᕆᐅᒻᒪᑕ	ᐅᓄᖅ@ᑐ@ᒻᒪᕆ@ᐅ@ᒻᒪᑕ
ᕿᓂᖅᑕᐅᕙᓪᓕᐊᒻᒪᑕ	ᕿᓂᖅ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᒻᒪᑕ
ᕿᓚᓈᕆᔭᐅᔪᓄᑦ	ᕿᓚᓈ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᑭᒃᑯᓄᑦ	ᑭᒃᑯ@ᓄᑦ
ᕿᒥᕐᕈᖁᔨᓂᖅ	ᕿᒥᕐᕈ@ᖁ@ᔨ@ᓂᖅ
ᐅᕐᓱ	ᐅᕐᓱ
ᐱᒻᒪᕆᐅᔪᓄᑦᑕᐅᖅ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪ@ᓄᑦ@ᑕᐅᖅ
ᑲᒪᒋᔭᕆᔭᐅᖕᒪᑦ	ᑲᒪ@ᒋ@ᔭ@ᕆ@ᔭ@ᐅ@ᖕᒪᑦ
ᓴᓇᔪᓕᕆᔨᒃᑯᓐᓄ	ᓴᓇ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄ
ᐃᓄᖏᓂ	ᐃᓄ@ᖏ@ᓂ
ᐃᓄᑐᖃᓕᕆᕕᒃ	ᐃᓄ@ᑐᖃ@ᓕᕆ@ᕕᒃ
ᒫᓐᓇᐅᔪᒥᑦ	ᒫᓐᓇ@ᐅ@ᔪ@ᒥᑦ
ᑐᑭᖃᓪᓚᑦᑖᕐᒪᓐ	ᑐᑭ@ᖃᓪᓚᑦ@ᑖᕐ@ᒪᓐ
ᑲᒪᒋᔭᐅᑎᑕᐅᔪᒃᓴᐅᕗᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᑎ@ᑕ@ᐅ@ᔪᒃᓴ@ᐅ@ᕗᖅ
ᓴᓇᕙᓪᓕᐊᕗᑦ	ᓴᓇ@ᕙᓪᓕᐊ@ᕗᑦ
ᐃᑲᔪᖅᐹᓪᓕᖅᑐᑦ	ᐃᑲᔪᖅ@ᐹᓪᓕᖅ@ᑐᑦ
ᑕᒪᑐᒧᖓᓗᑦᑕᐅᖅ	ᑕᒪᑐ@ᒧᖓ@ᓗ@ᑦᑕᐅᖅ
ᓴᓇᔭᐅᔪᖃᓚᐅᖅᑎᓐᓇᒍ	ᓴᓇ@ᔭ@ᐅ@ᔪ@ᖃ@ᓚᐅᖅ@ᑎᓐᓇᒍ
ᖃᐅᔨᒪᔭᐅᒻᒥᒻᒪᑕ	ᖃᐅᔨᒪ@ᔭ@ᐅ@ᒻᒥ@ᒻᒪᑕ
ᖃᐅᔨᓴᖅᑕᐅᔪᒪᔪᒥᒃ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᔪᒪ@ᔪ@ᒥᒃ
ᓇᒻᒥᓂᖃᖅᑐᒧᑦ	ᓇᒻᒥᓂ@ᖃᖅ@ᑐ@ᒧᑦ
ᑎᑭᓯᒪᖏᒻᒪᑕ	ᑎᑭ@ᓯ@ᒪ@ᖏᒻ@ᒪᑕ
ᖃᐅᔨᓇᓱᓕᕌᖓᑦᑕ	ᖃᐅᔨ@ᓇᓱ@ᓕ@ᕌᖓᑦᑕ
ᑕᐃᒃᓱᒧᖓᓕ	ᑕᐃᒃᓱ@ᒧᖓ@ᓕ
ᐊᑐᓂᒎᖅ	ᐊᑐᓂ@ᒎᖅ
ᐋᖅᑭᓱᐃᕙᓪᓕᐊᒻᒪᖔᑕ	ᐋᖅᑭ@ᓱ@ᐃ@ᕙᓪᓕᐊ@ᒻᒪᖔᑕ
ᐊᑦᑕᓇᕐᒪᖔᑦ	ᐊᑦᑕ@ᓇᕐ@ᒪᖔᑦ
ᑭᐅᒍᑎᑦᓴᒧ	ᑭᐅ@ᒍᑎ@ᑦᓴ@ᒧ
ᓯᕗᓪᓕᐅᑎᑕᐅᔪᒪᔪᑦ	ᓯᕗ@ᓪᓕ@ᐅ@ᑎ@ᑕ@ᐅ@ᔪᒪ@ᔪᑦ
ᓂᐅᕕᕐᕕᕋᓛᖅ	ᓂᐅᕕᕐ@ᕕ@ᕋᓛᖅ
ᐱᒻᒪᕆᐅᓂᖓᓂᒃ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂ@ᖓᓂᒃ
ᓇᔪᖃᑦᑕᕈᓐᓇᖅᐳᑦ	ᓇᔪ@ᖃᑦᑕ@ᕈᓐᓇᖅ@ᐳᑦ
ᒪᑉᐱᐸᒐᖅ	ᒪᑉᐱ@ᐸ@ᒐᖅ
ᓇᑭᑐᐃᓐᓇᖅ	ᓇᑭ@ᑐᐃᓐᓇᖅ
ᑕᒪᒃᑯᐊᖏᓛᖅ	ᑕᒪᒃᑯᐊ@ᖏ@ᓛᖅ
ᐃᑉᐱᒍᓱᓐᓂᖃᕐᒪᖔᑕ	ᐃᑉᐱ@ᒍᓱᓐ@ᓂ@ᖃᕐ@ᒪᖔᑕ
ᐃᓕᓴᕆᔭᐅᕙᓪᓕᐊᒪᑦ	ᐃᓕᓴ@ᕆ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᒪᑦ
ᒪᓕᔅᓴᕐᓗᓂ	ᒪᓕᔅ@ᓴᕐ@ᓗᓂ
ᐃᑲᔪᕈᑕᐅᔪᓐ	ᐃᑲᔪ@ᕈᑕ@ᐅ@ᔪᓐ
ᒫᑦᓯᒧ	ᒫᑦᓯ@ᒧ
ᓂᓪᓕᕐᕕᐅᔪᓐᓇᕋᓂ	ᓂᓪᓕᕐ@ᕕ@ᐅ@ᔪᓐᓇ@ᕋᓂ
ᐃᑲᔪᓪᓚᕆᒍᒪᔪᒍᑦ	ᐃᑲᔪ@ᓪᓚᕆ@ᒍᒪ@ᔪᒍᑦ
ᐊᒃᐸᕆᐊᓚᐅᕐᒪᑕ	ᐊᒃᐸ@ᕆᐊ@ᓚᐅᕐ@ᒪᑕ
ᖁᔭᒋᔭᐅᕗᑎᑦ	ᖁᔭ@ᒋ@ᔭ@ᐅ@ᕗᑎᑦ
ᓄᖅᑲᖅᐸᒃᑐᑦ	ᓄᖅᑲᖅ@ᐸᒃ@ᑐᑦ
ᑲᑉᐱᐊᓇᕐᓂᕋᐃᔪᒥᒃ	ᑲᑉᐱᐊ@ᓇᕐ@ᓂ@ᕋᐃ@ᔪ@ᒥᒃ
ᐃᓚᓕᒫᒥᓄᑦ	ᐃᓚ@ᓕᒫ@ᒥ@ᓄᑦ
ᐃᓪᓗᖃᕈᑕᐅᔪᑦ	ᐃᓪᓗ@ᖃ@ᕈᑕ@ᐅ@ᔪᑦ
ᓄᓇᑦᓯᐊᕙᐅᖕᒪᑦ	ᓄᓇ@ᑦᓯᐊᕙ@ᐅ@ᖕᒪᑦ
ᑲᔪᓯᐅᔭᕈᓐᓇᖅᓯᕗᑎᑦ	ᑲᔪᓯ@ᐅ@ᔭ@ᕈᓐᓇᖅ@ᓯ@ᕗᑎᑦ
ᐳᓚᕋᕋᒪ	ᐳᓚ@ᕋ@ᕋᒪ
ᖃᐅᓴᕐᓂᖅ	ᖃᐅ@ᓴᕐ@ᓂᖅ
ᑲᒪᔪᖃᖅᑎᓪᓗᒍ	ᑲᒪ@ᔪ@ᖃᖅ@ᑎᓪᓗᒍ
ᑐᑦᓯᕋᖅᑕᐅᔪᓄᑦ	ᑐᑦᓯ@ᕋᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐊᓚᒃᑲᐃᕙᓪᓕᐊᒍᓐᓇᕐᒪᖔᑦᑕ	ᐊᓚ@ᒃᑲ@ᐃ@ᕙᓪᓕᐊ@ᒍᓐᓇᕐ@ᒪᖔᑦᑕ
ᑖᒃᑯᓂᖓᐅᑦᑕᖅᐳᖅ	ᑖᒃᑯ@ᓂᖓ@ᐅ@ᑦᑕᖅ@ᐳᖅ
ᓈᒻᒪᙱᓗᐊᖅᑐᒧᑦ	ᓈᒻᒪ@ᙱ@ᓗᐊᖅ@ᑐ@ᒧᑦ
ᐱᓕᕆᔭᐅᓚᐅᖅᑐᑦ	ᐱ@ᓕᕆ@ᔭ@ᐅ@ᓚᐅᖅ@ᑐᑦ
ᐃᒪᓐᓇᐃᑦᑐᐸᓗᓐᓂ	ᐃᒪᓐᓇ@ᐃᑦ@ᑐ@ᐸ@ᓗᓐ@ᓂ
ᖃᖓᑦᓯᐊᖅ	ᖃᖓ@ᑦᓯᐊᖅ
ᑕᑯᓇᒃᑕᐅᔪᓐᓇᕐᒪᖔᖅ	ᑕᑯ@ᓇᒃ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᖅ
ᐱᖁᔭᒃᓴᖓᑦ	ᐱ@ᖁ@ᔭ@ᒃᓴ@ᖓᑦ
ᐊᓚᒃᑲᐃᔪᒪᓗᓂ	ᐊᓚ@ᒃᑲ@ᐃ@ᔪᒪ@ᓗᓂ
ᕿᑲᖅᑐᖁᑎᖃᓕᕐᒥᔪᒍᑦ	ᕿᑲ@ᖅ@ᑐ@ᖁᑎ@ᖃ@ᓕᕐ@ᒥ@ᔪᒍᑦ
ᑕᑯᓇᒃᐸᓪᓕᐊᒻᒥᔪᒍᑦ	ᑕᑯ@ᓇᒃ@ᐸᓪᓕᐊ@ᒻᒥ@ᔪᒍᑦ
ᓯᐅᒃ	ᓯᐅᒃ
ᓴᒃᑯᐃᓪᓗᑎᑦ	ᓴᒃᑯ@ᐃᓪ@ᓗᑎᑦ
ᐊᐱᖅᓱᕈᓐᓇᕋᑖᕋᕕᑦ	ᐊᐱᖅ@ᓱ@ᕈᓐᓇ@ᕋᑖ@ᕋᕕᑦ
ᐃᒡᓗᖁᑎᖃᕐᒪᑕ	ᐃᒡᓗ@ᖁᑎ@ᖃᕐ@ᒪᑕ
ᐊᑭᒋᐊᖅᐳᖅ	ᐊᑭ@ᒋᐊᖅ@ᐳᖅ
ᐃᓚᖏᒃ	ᐃᓚ@ᖏᒃ
ᒐᕙᒪᓕᕆᔨᓂᑦ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᓂᑦ
ᐃᓚᒋᐊᕈᑕᐅᕗᖅ	ᐃᓚ@ᒋᐊ@ᕈᑕ@ᐅ@ᕗᖅ
ᐅᖃᓕᒫᓕᕆᓂᕐᒧᑦ	ᐅᖃ@ᓕᒫ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐅᐱᒍᓱᒻᒪᖔᑕ	ᐅᐱ@ᒍᓱᒻ@ᒪᖔᑕ
ᐅᖃᕈᓐᓇᕈᕕᐅᒃ	ᐅᖃ@ᕈᓐᓇ@ᕈᕕᐅᒃ
ᐃᓱᒪᒋᔭᐅᕙᖕᒪᑕ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᕙᖕ@ᒪᑕ
ᓯᓚᖓᑦᑕ	ᓯᓚ@ᖓᑦᑕ
ᑎᑭᓚᐅᖅᐳᖅ	ᑎᑭ@ᓚᐅᖅ@ᐳᖅ
ᒪᑐᐃᕐᓯᕐᓂᒧᑦ	ᒪᑐ@ᐃᕐ@ᓯᕐ@ᓂ@ᒧᑦ
ᐳᔪᖓᓄᑦ	ᐳᔪ@ᖓᓄᑦ
ᓴᕿᑎᕆᕙᓪᓕᐊᔪᓄ	ᓴᕿ@ᑎ@ᕆ@ᕙᓪᓕᐊ@ᔪ@ᓄ
ᐃᓪᓗᖁᑎᒧᑦ	ᐃᓪᓗ@ᖁᑎ@ᒧᑦ
ᐱᓕᕆᔪᓐᓇᓪᓚᑦᑐᑦ	ᐱ@ᓕᕆ@ᔪᓐᓇ@ᓪᓚᑦ@ᑐᑦ
ᖃᒪᓂᖅᑐᐊᑉ	ᖃᒪᓂᖅᑐᐊ@ᑉ
ᖃᐅᔨᒪᔾᔫᒥᖁᔨᒻᒪᑕ	ᖃᐅᔨᒪ@ᔾᔫᒥ@ᖁ@ᔨ@ᒻᒪᑕ
ᓂᐅᕐᕈᖁᔨᕙᑦᑐᑦ	ᓂᐅᕐᕈ@ᖁ@ᔨ@ᕙᑦ@ᑐᑦ
ᖃᐅᔨᓴᖃᑕᐅᔪᓂᓐ	ᖃᐅᔨ@ᓴ@ᖃᑕᐅ@ᔪ@ᓂᓐ
ᐅᖃᕈᓐᓇᕐᓱᖓ	ᐅᖃ@ᕈᓐᓇᕐ@ᓱ@ᖓ
ᑲᒃᑯᐊ	ᑲᒃᑯᐊ
ᐆᒃᑐᖅᑕᐅᔪᒪᔪᑦ	ᐆᒃ@ᑐᖅ@ᑕ@ᐅ@ᔪᒪ@ᔪᑦ
ᐄᔨᖃᑦᓯᐊᕐᓗᑎᑦ	ᐄ@ᔨ@ᖃ@ᑦᓯᐊᕐ@ᓗᑎᑦ
ᐃᓱᒪᖔᕐᓗᑕ	ᐃᓱᒪ@ᖔᕐ@ᓗᑕ
ᐃᓄᑐᖃᓕᕆᓂᕐᒧᑦ	ᐃᓄ@ᑐᖃ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐱᔪᓐᓇᖅᑎᒃᑲᕕᙵ	ᐱ@ᔪᓐᓇᖅ@ᑎ@ᒃᑲ@ᕕ@ᙵ
ᑐᖅᑎᓪᓗᒋᑦ	ᑐᖅ@ᑎᓪᓗᒋᑦ
ᑲᔪᓯᒋᐊᕐᓗᖓᖃᐃ	ᑲᔪᓯ@ᒋᐊᕐ@ᓗᖓ@ᖃᐃ
ᐃᑦᑐᖅ	ᐃᑦᑐᖅ
ᐊᓇᕐᕕᖃᓚᐅᕈᑎᒃ	ᐊᓇᕐ@ᕕ@ᖃ@ᓚᐅ@ᕈᑎᒃ
ᓴᓇᔨᐅᔪᓂᒃ	ᓴᓇ@ᔨ@ᐅ@ᔪ@ᓂᒃ
ᓴᖅᑭᖃᑦᑕᕐᒥᔪᑦ	ᓴᖅᑭ@ᖃᑦᑕᕐ@ᒥ@ᔪᑦ
ᐊᒡᒍᖅᑕᐅᒻᒪᑕ	ᐊᒡᒍᖅ@ᑕ@ᐅ@ᒻᒪᑕ
ᐃᓚᒋᒻᒥᒪᒍ	ᐃᓚ@ᒋ@ᒻᒥ@ᒪᒍ
ᓂᕆᐅᒻᒪᖔᑦ	ᓂᕆᐅᒻ@ᒪᖔᑦ
ᑲᔪᓯᒋᐊᕈᑕᐅᓪᓗᓂ	ᑲᔪᓯ@ᒋᐊ@ᕈᑕ@ᐅ@ᓪᓗᓂ
ᖃᐅᔨᒪᔪᓐᓃᕐᓇᕐᒥᖕᒪᑦ	ᖃᐅᔨᒪ@ᔪᓐᓃᕐ@ᓇᕐ@ᒥ@ᖕᒪᑦ
ᖃᐅᔨᒪᐃᓐᓇᕐᒪᒍ	ᖃᐅᔨᒪ@ᐃᓐᓇᕐ@ᒪᒍ
ᓴᓇᖁᔨᓚᐅᕐᒪᑕ	ᓴᓇ@ᖁ@ᔨ@ᓚᐅᕐ@ᒪᑕ
ᓄᓇᓘᓐᓃᑦ	ᓄᓇ@ᓘᓐᓃᑦ
ᐱᓕᕆᖃᑎᖃᕈᒪᑦᑎᐊᖅᑐᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᕈᒪ@ᑦᑎᐊᖅ@ᑐᑦ
ᑭᖑᕙᕐᓂᕈᒪ	ᑭᖑ@ᕙᕐ@ᓂ@ᕈᒪ
ᐅᖃᐅᑎᔪᒫᖅᑕᒋᑦ	ᐅᖃ@ᐅᑎ@ᔪᒫᖅ@ᑕᒋᑦ
ᓅᑉᐸᓪᓕᐊᓂᖓᓄᑦ	ᓅᑉ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᐃᖏᕐᕋᓕᕐᒪᖔᑕ	ᐃᖏᕐᕋ@ᓕᕐ@ᒪᖔᑕ
ᖃᐅᔨᓴᕐᑕᐅᔪᒥᒃ	ᖃᐅᔨ@ᓴᕐ@ᑕ@ᐅ@ᔪ@ᒥᒃ
ᐱᖁᔨᒍᑎᒃ	ᐱ@ᖁ@ᔨ@ᒍᑎᒃ
ᐋᖅᑭᔅᓱᖅᐸᓪᓕᐊᒻᒪᑕ	ᐋᖅᑭᔅ@ᓱᖅ@ᐸᓪᓕᐊ@ᒻᒪᑕ
ᓇᖕᒥᓂᕆᔭᐅᓪᓗᓂ	ᓇᖕᒥᓂ@ᕆ@ᔭ@ᐅ@ᓪᓗᓂ
ᐸᕐᓇᓕᕐᒥᒻᒪᑎ	ᐸᕐᓇ@ᓕᕐ@ᒥ@ᒻᒪᑎ
ᐃᑲᔪᕐᓯᒍᑕᐅᔪᑦ	ᐃᑲᔪᕐ@ᓯ@ᒍᑕ@ᐅ@ᔪᑦ
ᑲᒪᓪᓗᐊᑕᕐᖓᑕ	ᑲᒪ@ᓪᓗᐊ@ᑕ@ᕐᖓ@ᑕ
ᐊᔪᙱᓐᓂᕆᔭᐅᔪᑦ	ᐊᔪ@ᙱᓐ@ᓂ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᖃᓄᖏᓛᖅ	ᖃᓄ@ᖏ@ᓛᖅ
ᖃᓕᕋᓕᒻᒧᑦ	ᖃᓕᕋ@ᓕᒻ@ᒧᑦ
ᑕᒪᓐᓇᑭᐊ	ᑕᒪᓐᓇ@ᑭᐊ
ᐃᓱᒪᒋᔭᕋᓂᓕ	ᐃᓱᒪ@ᒋ@ᔭ@ᕋᓂ@ᓕ
ᑭᐅᓯᓂᕐᒥᒍᒃ	ᑭᐅ@ᓯ@ᓂᕐ@ᒥ@ᒍᒃ
ᐃᖅᑲᑐᐃᕕᓕᕆᔨᒃᑯᓐᓂᒃ	ᐃᖅᑲ@ᑐ@ᐃ@ᕕ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᒃ
ᑕᐃᔭᐅᔪᓐᓇᖅᑐᑦ	ᑕᐃ@ᔭ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐊᐱᕆᔪᒪᒻᒪᑕ	ᐊᐱᕆ@ᔪᒪ@ᒻᒪᑕ
ᐱᓂᖅᓴᐅᒻᒪᑕᓕ	ᐱ@ᓂᖅᓴ@ᐅ@ᒻᒪᑕ@ᓕ
ᐊᑎᓂᐅᔪᑦ	ᐊᑎ@ᓂ@ᐅ@ᔪᑦ
ᐊᒡᓚᒡᕕᖓᓄᑦ	ᐊᒡᓚᒡ@ᕕ@ᖓᓄᑦ
ᑖᓚᐅᓚᐅᕐᒪᑕ	ᑖᓚ@ᐅ@ᓚᐅᕐ@ᒪᑕ
ᓴᖅᑭᑦᑐᖃᓚᐅᕐᒪᖔᑦ	ᓴᖅᑭᑦ@ᑐ@ᖃ@ᓚᐅᕐ@ᒪᖔᑦ
ᐃᑲᔪᕋᓱᐊᖃᑦᑕᖅᑐᒍᑦ	ᐃᑲᔪ@ᕋᓱᐊ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᖃᐃᖁᔨᓯᒪᖕᒪᑕ	ᖃᐃ@ᖁ@ᔨ@ᓯ@ᒪ@ᖕᒪᑕ
ᑲᑎᑎᕆᓚᐅᕐᒪᑕ	ᑲᑎ@ᑎ@ᕆ@ᓚᐅᕐ@ᒪᑕ
ᐱᓇᓱᒃᐸᑉᐳᒍᑦ	ᐱ@ᓇᓱᒃ@ᐸᑉ@ᐳᒍᑦ
ᐊᓂᒍᖅᐸᑎᑦ	ᐊᓂ@ᒍᖅ@ᐸᑎᑦ
ᐊᓯᑖᕐᓂᖅ	ᐊᓯ@ᑖᕐ@ᓂᖅ
ᐱᔭᐅᕙᓪᓕᐊᓕᖅᑐᑦ	ᐱ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᐃᒪᓐᓇᐅᑎᒋᕗᑦ	ᐃᒪᓐᓇ@ᐅ@ᑎᒋ@ᕗᑦ
ᐊᑐᓕᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᑐ@ᓕᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᑕᐃᒪᐃᒃᑐᖃᐃᓐᓇᖅᐸᒻᒪ	ᑕᐃᒪᐃᒃ@ᑐ@ᖃ@ᐃᓐᓇᖅ@ᐸᒻ@ᒪ
ᖃᐅᔨᒪᔪᒥᒃ	ᖃᐅᔨᒪ@ᔪ@ᒥᒃ
ᑕᐃᒪᐃᖁᔨᑎᓪᓗᒋᑦ	ᑕᐃ@ᒪ@ᐃ@ᖁ@ᔨ@ᑎᓪᓗᒋᑦ
ᐃᓱᒪᒋᔭᐅᕗᖅ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᕗᖅ
ᐱᒻᒪᕆᐅᒋᕙᐅᒃ	ᐱ@ᒻᒪᕆ@ᐅ@ᒋ@ᕙᐅᒃ
ᓄᓇᕗᓕᖃᐃ	ᓄᓇᕗ@ᓕ@ᖃᐃ
ᐱᖕᒪᑦ	ᐱ@ᖕᒪᑦ
ᑲᒪᒋᑦᑎᐊᕐᓂᖅ	ᑲᒪ@ᒋ@ᑦᑎᐊᕐ@ᓂᖅ
ᐃᓕᖕᓄᓪᓗ	ᐃᓕ@ᖕᓄᓪ@ᓗ
ᐱᖁᑎᒋᔭᐅᒻᒪᖔᑕ	ᐱ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᒻᒪᖔᑕ
ᓇᒻᒪᓂᕐᓴᐅᔪᓂᒃ	ᓇᒻᒪ@ᓂᕐᓴ@ᐅ@ᔪ@ᓂᒃ
ᑕᐃᒃᑯᓇᙵᑦ	ᑕᐃᒃᑯ@ᓇᙵᑦ
ᑲᒪᔪᕆᕋᑖᕋᒪ	ᑲᒪ@ᔪ@ᕆ@ᕋᑖ@ᕋᒪ
ᐃᑲᔪᕐᓂᖃᓚᐅᕆᕗᑦ	ᐃᑲᔪᕐ@ᓂ@ᖃ@ᓚᐅ@ᕆ@ᕗᑦ
ᐱᑐᖃᕈᑉᐸᓪᓕᐊᒻᒪᑦ	ᐱ@ᑐᖃ@ᕈᑉ@ᐸᓪᓕᐊ@ᒻᒪᑦ
ᒪᒥᓴᖅᐸᓪᓕᐊᔪᓂᒃ	ᒪᒥ@ᓴᖅ@ᐸᓪᓕᐊ@ᔪ@ᓂᒃ
ᖃᐅᔨᔭᓕᒫᒥᓂᒃ	ᖃᐅᔨ@ᔭ@ᓕᒫ@ᒥ@ᓂᒃ
ᕿᑎᓚᐅᕐᒪᑕ	ᕿᑎ@ᓚᐅᕐ@ᒪᑕ
ᐊᐅᔭᖓᓂᒃ	ᐊᐅᔭ@ᖓᓂᒃ
ᒥᓂᓯᑕᖓᑦ	ᒥᓂᓯᑕ@ᖓᑦ
ᐋᖅᑭᒃᓱᐃᔪᓄᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᔪ@ᓄᑦ
ᐊᐃᕙᓂᐅᓚᐅᖅᑐᒧᑦ	ᐊᐃᕙ@ᓂ@ᐅ@ᓚᐅᖅ@ᑐ@ᒧᑦ
ᐱᑐᖃᒥᓂᐅᔪᑦ	ᐱ@ᑐᖃ@ᒥᓂ@ᐅ@ᔪᑦ
ᐊᑦᑐᐊᔪᓂᑦ	ᐊᑦᑐ@ᐊ@ᔪ@ᓂᑦ
ᖃᐅᔨᔪᓐᓇᕐᒪᑦ	ᖃᐅᔨ@ᔪᓐᓇᕐ@ᒪᑦ
ᐊᐱᕆᖁᑎᖃᕋᒪ	ᐊᐱᕆ@ᖁ@ᑎ@ᖃ@ᕋᒪ
ᐅᖃᐅᑎᔪᓐᓇᖅᐸᐅᒃ	ᐅᖃ@ᐅᑎ@ᔪᓐᓇᖅ@ᐸᐅᒃ
ᑕᕝᕙᑕᐅᑎᒋ	ᑕᕝᕙ@ᑕ@ᐅᑎ@ᒋ
ᒥᓂᔅᑕᖓᒡᒎᖅ	ᒥᓂᔅᑕ@ᖓᒡ@ᒎᖅ
ᐊᖏᕈᓐᓇᖅᐱᖓ	ᐊᖏ@ᕈᓐᓇᖅ@ᐱᖓ
ᖃᐅᔨᒪᔪᓐ	ᖃᐅᔨᒪ@ᔪᓐ
ᐊᑦᑐᐃᔪᒪᓪᓗᖓ	ᐊᑦᑐ@ᐃ@ᔪᒪ@ᓪᓗᖓ
ᐃᒡᓗᖃᕈᒪᒍᕕᑦ	ᐃᒡᓗ@ᖃ@ᕈᒪ@ᒍᕕᑦ
ᐃᓪᓗᔪᐊᕌᓗᒻᒥᑦ	ᐃᓪᓗ@ᔪᐊ@ᕌᓗᒻ@ᒥᑦ
ᐃᓱᒪᓕᕆᔨᐅᕙᒃᑐᑦ	ᐃᓱᒪ@ᓕᕆ@ᔨ@ᐅ@ᕙᒃ@ᑐᑦ
ᐊᑭᑦᑐᕈᑕᐅᕙᒃᐳᖅ	ᐊᑭ@ᑦᑐ@ᕈᑕ@ᐅ@ᕙᒃ@ᐳᖅ
ᑎᐱᖃᖅᑐᖃᓚᐅᕐᓂᖓᓂᒃ	ᑎᐱ@ᖃᖅ@ᑐ@ᖃ@ᓚᐅᕐ@ᓂ@ᖓᓂᒃ
ᐱᐊᓂᖅᑲᐅᒻᒪᑕ	ᐱ@ᐊᓂ@ᖅᑲᐅ@ᒻᒪᑕ
ᐅᐱᒋᔪᒪᖕᒥᔭᒃᑲ	ᐅᐱ@ᒋ@ᔪᒪ@ᖕᒥ@ᔭᒃᑲ
ᖃᒪᓂᑦᑐᐊᕐᒧᑦ	ᖃᒪᓂᑦᑐᐊᕐ@ᒧᑦ
ᐃᓂᒋᔭᐅᒐᔪᒃᑐᒧᑦ	ᐃᓂ@ᒋ@ᔭ@ᐅ@ᒐᔪᒃ@ᑐ@ᒧᑦ
ᒥᖅᓱᕆᐅᕐᓴᓂᕐᒥᑦ	ᒥᖅᓱ@ᕆᐅᕐ@ᓴ@ᓂᕐ@ᒥᑦ
ᐊᕐᓇᐅᒻᒧᑦ	ᐊᕐᓇ@ᐅᒻ@ᒧᑦ
ᐱᓕᕆᖃᑎᒋᔭᐅᓚᐅᕐᒪ	ᐱ@ᓕᕆ@ᖃᑎ@ᒋ@ᔭ@ᐅ@ᓚᐅᕐ@ᒪ
ᖃᐅᔨᒪᔭᐅᒻᒪᑦ	ᖃᐅᔨᒪ@ᔭ@ᐅ@ᒻᒪᑦ
ᐱᒻᒪᕆᐊᓗᒋᔭᐅᒻᒪᑦ	ᐱ@ᒻᒪᕆ@ᐊᓗ@ᒋ@ᔭ@ᐅ@ᒻᒪᑦ
