ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐱᓇᓱᐊᕈᓯᐅᖕᒪᑦ	ᐱᓇᓱᐊᕈᓯ@ᐅ@ᖕᒪᑦ
ᑐᓱᓕᖅᑐᒥᓂᖅ	ᑐ@ᓱ@ᓕᖅ@ᑐ@ᒥᓂᖅ
ᐅᖃᒃᑲᓐᓂᖁᔨᓪᓗᓂ	ᐅᖃ@ᒃᑲᓐᓂ@ᖁ@ᔨ@ᓪᓗᓂ
ᐱᕙᓪᓕᐊᑎᑦᓯᖕᒪᑕ	ᐱ@ᕙᓪᓕᐊ@ᑎᑦ@ᓯ@ᖕᒪᑕ
ᐅᖃᐅᔾᔨᒋᐊᕈᑕᐅᓚᐅᖅᐳᖅ	ᐅᖃ@ᐅᔾ@ᔨ@ᒋᐊ@ᕈᑕ@ᐅ@ᓚᐅᖅ@ᐳᖅ
ᒥᐊᓂᕆᔭᐅᑉᓗᓂ	ᒥᐊᓂᕆ@ᔭ@ᐅ@ᑉᓗᓂ
ᐃᔨᓕᕆᓂᕐᒧᑦ	ᐃᔨ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐸᕐᓇᐃᓕᖅᐳᑦ	ᐸᕐᓇ@ᐃ@ᓕᖅ@ᐳᑦ
ᐱᓕᕆᔪᓇᕆᐊᑲᓐᓂᕐᓱᑕ	ᐱ@ᓕᕆ@ᔪᓇ@ᕆᐊ@ᑲᓐᓂᕐ@ᓱ@ᑕ
ᐱᒋᐊᕐᓂᕆᔭᖓᓂᑦ	ᐱ@ᒋᐊᕐ@ᓂ@ᕆ@ᔭ@ᖓᓂᑦ
ᐳᓚᕋᖅᑎᑦᓯᒐᔪᒻᒪᑕᐃᓛᒃ	ᐳᓚ@ᕋᖅ@ᑎ@ᑦᓯ@ᒐᔪᒻ@ᒪᑕ@ᐃᓛᒃ
ᐱᒻᒪᕆᐅᓂᖅᓴᐅᒻᒪᕆᒻᒪᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂᖅᓴ@ᐅ@ᒻᒪᕆᒻ@ᒪᑦ
ᐊᖓᔪᖅᑳᖑᕈᒪᔪᑦ	ᐊᖓᔪᖅᑳ@ᖑ@ᕈᒪ@ᔪᑦ
ᖃᐅᔨᓴᖃᑕᐅᔪᓂᓐ	ᖃᐅᔨ@ᓴ@ᖃᑕᐅ@ᔪ@ᓂᓐ
ᒪᓕᑦᑕᐅᓪᓗᓂ	ᒪᓕᑦ@ᑕ@ᐅ@ᓪᓗᓂ
ᑭᐅᔾᔮᖏᒻᒪᑦ	ᑭᐅ@ᔾᔮ@ᖏᒻ@ᒪᑦ
ᕿᓂᓚᐅᖅᐳᑦ	ᕿᓂ@ᓚᐅᖅ@ᐳᑦ
ᑭᐅᖁᔭᕐᒪᒍ	ᑭᐅ@ᖁ@ᔭᕐ@ᒪᒍ
ᑭᒡᒐᑐᖅᑕᐅᒻᒥᔪᒍᑦ	ᑭᒡᒐ@ᑐᖅ@ᑕ@ᐅ@ᒻᒥ@ᔪᒍᑦ
ᐊᖏᖃᑎᒋᑦᑎᐊᕋᒃᑯ	ᐊᖏ@ᖃᑎ@ᒋ@ᑦᑎᐊ@ᕋᒃᑯ
ᓄᖅᑲᕋᓱᑦᑐᒧᑦ	ᓄᖅᑲ@ᕋᓱᑦ@ᑐ@ᒧᑦ
ᐅᐱᖃᑕᐅᖁᔭᒃᑲ	ᐅᐱ@ᖃᑕᐅ@ᖁ@ᔭ@ᒃᑲ
ᓴᖅᑭᑎᑕᐅᒻᒪᑦ	ᓴᖅᑭ@ᑎ@ᑕ@ᐅ@ᒻᒪᑦ
ᐅᑦᔨᕈᓱᒍᒪᓪᓗᖓ	ᐅᑦᔨ@ᕈᓱ@ᒍᒪ@ᓪᓗᖓ
ᓇᖕᒥᓂᖃᕋᓱᐊᖅᑎᓪᓗᒍ	ᓇᖕᒥᓂ@ᖃ@ᕋᓱᐊᖅ@ᑎᓪᓗᒍ
ᑲᒪᔨᐅᓪᓗᖓ	ᑲᒪ@ᔨ@ᐅ@ᓪᓗᖓ
ᐱᒋᐊᕋᕐᐱᓯᐅᒃ	ᐱ@ᒋᐊ@ᕋᕐ@ᐱᓯᐅᒃ
ᓇᒻᒪᓪᓗᓂ	ᓇᒻᒪᓪ@ᓗᓂ
ᐅᖃᕐᒥᔪᑦ	ᐅᖃᕐ@ᒥ@ᔪᑦ
ᑖᒃᓱᒥᒻᖓ	ᑖᒃ@ᓱ@ᒥ@ᒻᖓ
ᖁᕕᐊᓱᙱᓐᓂᖃᓚᐅᕐᒪᑦ	ᖁᕕᐊ@ᓱ@ᙱᓐ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᑎᑎᖅᑐᒐᓕᕆᓪᓗᑎᑦ	ᑎᑎᖅ@ᑐ@ᒐ@ᓕᕆ@ᓪᓗᑎᑦ
ᐋᕐᕿᒃᓱᖅᑕᐅᕙᒃᑐᑦ	ᐋᕐᕿᒃ@ᓱᖅ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᒥᐊᓂᕆᔭᐅᔪᓐᓇᖃᑦᑕᖏᒻᒪᑕ	ᒥᐊᓂᕆ@ᔭ@ᐅ@ᔪᓐᓇ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᓇᒻᒥᓂᓕᒻᒧᑦ	ᓇᒻᒥᓂ@ᓕᒻ@ᒧᑦ
ᐃᓕᓴᕆᒃᑲᓐᓂᕈᓐᓇᕋᕕᖓ	ᐃᓕᓴ@ᕆ@ᒃᑲᓐᓂ@ᕈᓐᓇ@ᕋᕕᖓ
ᑐᐱᖅᓱᒪᐅᕐᐳᒍᑦ	ᑐᐱᖅ@ᓱ@ᒪ@ᐅᕐ@ᐳᒍᑦ
ᐅᕙᑦᑎᓄ	ᐅᕙ@ᑦᑎᓄ
ᑕᑯᔪᓐᓇᖅᑐᒍᑦ	ᑕᑯ@ᔪᓐᓇᖅ@ᑐᒍᑦ
ᑭᐅᔪᓐᓇᕋᕕᙵ	ᑭᐅ@ᔪᓐᓇ@ᕋ@ᕕ@ᙵ
ᐱᕙᓪᓕᐊᒍᑎᖃᕈᓐᓇᓂᕐᒧᓪᓗ	ᐱ@ᕙᓪᓕᐊ@ᒍᑎ@ᖃ@ᕈᓐᓇ@ᓂᕐ@ᒧᓪ@ᓗ
ᑕᑯᓐᓇᔪᒻᒪᑦ	ᑕᑯ@ᓐᓇᔪᒻ@ᒪᑦ
ᐊᐱᖅᓱᕈᓐᓇᖏᒃᑯᕕᑦ	ᐊᐱᖅ@ᓱ@ᕈᓐᓇ@ᖏᒃ@ᑯᕕᑦ
ᐃᒻᒥᓂᐊᕐᑐᖃᓚᐅᕐᑎᓪᓗᒍ	ᐃᒻᒥᓂ@ᐊᕐ@ᑐ@ᖃ@ᓚᐅᕐ@ᑎᓪᓗᒍ
ᐊᑲᐅᓂᖅᐸᐅᒻᒪᑦ	ᐊᑲᐅ@ᓂᖅᐸ@ᐅ@ᒻᒪᑦ
ᐊᓕᒍᕐᒥᑦ	ᐊᓕᒍᕐ@ᒥᑦ
ᕿᒥᕐᕈᖄᖅᐸᒃᑐᒍᑦ	ᕿᒥᕐᕈ@ᖄᖅ@ᐸᒃ@ᑐᒍᑦ
ᐊᓪᐴᑕᒥᑦ	ᐊᓪᐴᑕ@ᒥᑦ
ᖃᖓᓂᑕᐅᒻᒪᖔᑦ	ᖃᖓ@ᓂᑕ@ᐅ@ᒻᒪᖔᑦ
ᓴᖅᑭᓛᖅᐸᐅᒃ	ᓴᖅᑭ@ᓛᖅ@ᐸᐅᒃ
ᓇᔅᓴᖃᑦᑕᖅᑐᑦ	ᓇᔅᓴ@ᖃᑦᑕᖅ@ᑐᑦ
ᑐᒪᓐᓇ	ᑐ@ᒪ@ᓐᓇ
ᐅᐃᓐᓇᕋᓂ	ᐅᐃᓐ@ᓇ@ᕋᓂ
ᐱᔪᓐᓇᕐᓂᖃᕐᒥᒻᒪᑕ	ᐱ@ᔪᓐᓇᕐ@ᓂ@ᖃᕐ@ᒥ@ᒻᒪᑕ
ᖃᑉᑎᕆᓂᖅ	ᖃᑉᑎ@ᕆ@ᓂᖅ
ᓄᓇᑦᓯᐊᕙᐅᖏᓂᕐᒥ	ᓄᓇ@ᑦᓯᐊᕙ@ᐅ@ᖏ@ᓂᕐ@ᒥ
ᐱᒋᐊᓛᕐᓱᓂ	ᐱ@ᒋᐊ@ᓛᕐ@ᓱ@ᓂ
ᓯᐅᕋᖅ	ᓯᐅᕋᖅ
ᕿᓂᕋᑖᕋᒪ	ᕿᓂ@ᕋᑖ@ᕋᒪ
ᕿᒥᕐᕈᔪᒪᒻᒪᑕ	ᕿᒥᕐᕈ@ᔪᒪ@ᒻᒪᑕ
ᐱᖁᔨᒃᐸᑦ	ᐱ@ᖁ@ᔨ@ᒃᐸᑦ
ᐃᓪᓗᒃᓴᑦ	ᐃᓪᓗ@ᒃᓴ@ᑦ
ᓂᓚᖃᓚᐅᕐᒪᑦ	ᓂᓚ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᐃᑲᔪᖅᑐᖃᒃᑲᓐᓂᕈᓐᓇᕐᒪᖔᖅ	ᐃᑲᔪᖅ@ᑐ@ᖃ@ᒃᑲᓐᓂ@ᕈᓐᓇᕐ@ᒪᖔᖅ
ᑐᕌᒐᕆᓚᐅᖅᑕᖓᓄᑦ	ᑐᕌ@ᒐ@ᕆ@ᓚᐅᖅ@ᑕ@ᖓᓄᑦ
ᐃᑲᔪᒃᑲᓐᓂᕈᒪᔪᑦ	ᐃᑲᔪ@ᒃᑲᓐᓂ@ᕈᒪ@ᔪᑦ
ᐃᓱᒪᖕᒪᖔᖅᐱᑦ	ᐃᓱᒪ@ᖕᒪᖔᖅᐱᑦ
ᐅᑎᕈᓐᓇᕐᒥᒐᑦᑕ	ᐅᑎ@ᕈᓐᓇᕐ@ᒥ@ᒐᑦᑕ
ᐃᓕᖅᑯᓯᕐᒥᒍᑦ	ᐃᓕᖅᑯᓯᕐ@ᒥᒍᑦ
ᐄᔭᒐᖅᑕᐅᕙᑦᑐᑦ	ᐄ@ᔭ@ᒐᖅ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐱᖃᓐᓂᕆᔭᖏᒃ	ᐱᖃᓐᓂᕆᔭ@ᖏᒃ
ᑭᐅᔭᐅᔪᓐᓇᕐᒪᖔᑦ	ᑭᐅ@ᔭ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᑦ
ᒫᑦᑎ	ᒫᑦᑎ
ᒪᑐᐃᕈᒫᓕᕐᒪᑦ	ᒪᑐ@ᐃ@ᕈᒫ@ᓕᕐ@ᒪᑦ
ᑖᒃᑯᐊᑎᑐᑦ	ᑖ@ᒃᑯ@ᐊ@ᑎ@ᑐᑦ
ᖃᐃᖁᒃᑲᓐᓂᕈᒪᔭᕋ	ᖃᐃ@ᖁ@ᒃᑲᓐᓂ@ᕈᒪ@ᔭ@ᕋ
ᑕᒪᓐᓇᑭᐊᖅ	ᑕᒪᓐᓇ@ᑭᐊᖅ
ᐃᖏᕐᕋᑎᐊᖅᑐᑦ	ᐃᖏᕐᕋ@ᑎ@ᐊᖅ@ᑐᑦ
ᖃᐅᔨᓇᓱᖃᑦᑕᖅᑐᒍᑦ	ᖃᐅᔨ@ᓇᓱ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᐅᓯᔪᓄᑦ	ᐅᓯ@ᔪ@ᓄᑦ
ᑐᒃᑐᒍᓐᓇᖅᐳᖅ	ᑐᒃᑐ@ᒍᓐ@ᓇᖅ@ᐳᖅ
ᒪᓕᒃᑐᑦ	ᒪᓕᒃ@ᑐᑦ
ᓇᓪᓕᒍᓱᓪᓗᑕ	ᓇᓪᓕ@ᒍᓱᓪ@ᓗᑕ
ᖃᐅᔨᒪᓇᕐᒥᔪᖅ	ᖃᐅᔨᒪ@ᓇᕐ@ᒥ@ᔪᖅ
ᐃᒡᓗᕐᔪᐊᒃᓴᖅ	ᐃᒡᓗ@ᕐᔪᐊ@ᒃᓴᖅ
ᐊᒥᐊᒃᑯᒋᔭᐅᔪᓂᒃ	ᐊᒥᐊᒃᑯ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᒃ
ᐊᑐᖅᑕᐅᔫᓂᒃ	ᐊᑐᖅ@ᑕ@ᐅ@ᔫ@ᓂᒃ
ᑐᓂᔭᐅᔪᒍᑦ	ᑐᓂ@ᔭ@ᐅ@ᔪᒍᑦ
ᐱᓕᕆᖃᑎᒌᓐᓂᖓᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᓐ@ᓂ@ᖓᑦ
ᐊᑦᑕᖅᑕᐅᓂᕐᒧᑦ	ᐊᑦᑕᖅ@ᑕ@ᐅ@ᓂᕐ@ᒧᑦ
ᒪᕐᕈᐃᕐᓗᓂᓘᓐᓃᑦ	ᒪᕐᕈ@ᐃᕐ@ᓗᓂ@ᓘᓐᓃᑦ
ᐅᖃᕋᓱᖅᑰᕐᒪᑦ	ᐅᖃ@ᕋᓱ@ᖅᑰᕐ@ᒪᑦ
ᐱᕙᓪᓕᐊᓂᖃᖅᐳᑦ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᖃᖅ@ᐳᑦ
ᑳᓐᑐᕌᒃᑕᐅᕙᑦᑐᑦ	ᑳᓐᑐᕌᒃ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐃᓕᑕᐅᓪᓗᓂ	ᐃᓕ@ᑕ@ᐅ@ᓪᓗᓂ
ᐅᐸᑦᑕᐅᕙᓚᐅᖅᑐᑦ	ᐅᐸᑦ@ᑕ@ᐅ@ᕙ@ᓚᐅᖅ@ᑐᑦ
ᐃᓄᒃᐸᓘᓐᓃᑦ	ᐃᓄᒃᐸ@ᓘᓐᓃᑦ
ᓴᖅᑭᑦᑐᖃᓚᐅᕐᒪᓐ	ᓴᖅᑭᑦ@ᑐ@ᖃ@ᓚᐅᕐ@ᒪᓐ
ᑭᐅᔪᒪᒻᒪᖔᒍ	ᑭᐅ@ᔪᒪ@ᒻᒪᖔᒍ
ᐃᓕᖅᑯᓯᓕᕆᔨᑎᒍᑦ	ᐃᓕᖅᑯᓯ@ᓕᕆ@ᔨ@ᑎᒍᑦ
ᐊᓯᔾᔨᖅᑕᖅᑕᐅᕙᑉᐳᑦ	ᐊᓯ@ᔾᔨᖅ@ᑕᖅ@ᑕ@ᐅ@ᕙᑉ@ᐳᑦ
ᓵᓚᒃᓴᕈᑕᐅᒐᓱᐊᖅᑐᑦ	ᓵᓚ@ᒃᓴ@ᕈᑕ@ᐅ@ᒐᓱᐊᖅ@ᑐᑦ
ᐃᓱᒪᓕᕆᓪᓗᖓ	ᐃᓱᒪ@ᓕᕆ@ᓪᓗᖓ
ᓱᖕᒪᑭᐊ	ᓱ@ᖕᒪ@ᑭᐊ
ᐅᒥᐊᖃᕈᑦᑕ	ᐅᒥᐊ@ᖃ@ᕈᑦᑕ
ᓵᖓᔪᓂᒃ	ᓵ@ᖓ@ᔪ@ᓂᒃ
ᓇᓗᕗᑦ	ᓇᓗ@ᕗᑦ
ᓄᖅᑲᐸᓪᓕᐊᔪᒪᓕᖅᑐᒍᑦ	ᓄᖅᑲ@ᐸᓪᓕᐊ@ᔪᒪ@ᓕᖅ@ᑐᒍᑦ
ᐱᖑᐊᕐᔪᒃ	ᐱᖑ@ᐊᕐᔪᒃ
ᖃᒪᓂᖅᑐᐊᕐᒥᐅᑕᖅ	ᖃᒪᓂᖅᑐᐊᕐ@ᒥᐅᑕᖅ
ᐃᖅᑲᓇᐃᔮᖅᑖᖅᑐᖃᖅᑐᒥᓂᐅᒍᓂᓕ	ᐃᖅᑲᓇᐃᔮᖅ@ᑖᖅ@ᑐ@ᖃᖅ@ᑐ@ᒥᓂ@ᐅ@ᒍᓂ@ᓕ
ᐱᐊᓂᓚᐅᖅᑐᑦ	ᐱ@ᐊᓂ@ᓚᐅᖅ@ᑐᑦ
ᐱᕈᕐᐸᓪᓕᐊᒪᑦ	ᐱᕈᕐ@ᐸᓪᓕᐊ@ᒪᑦ
ᐊᖏᖃᑎᒋᒋᒃᑭᓐ	ᐊᖏ@ᖃᑎ@ᒋ@ᒋᒃᑭᓐ
ᐃᓕᓴᕆᒍᒪᖕᒥᒐᒃᑯ	ᐃᓕᓴ@ᕆ@ᒍᒪ@ᖕᒥ@ᒐᒃᑯ
ᑐᕌᖓᖕᒪᑦ	ᑐᕌ@ᖓ@ᖕᒪᑦ
ᑕᑯᖃᑦᑕᕐᓗᓂ	ᑕᑯ@ᖃᑦᑕᕐ@ᓗᓂ
ᓄᖅᑲᑎᑦᑎᔪᒪᓪᓗᑎᑦ	ᓄᖅᑲ@ᑎᑦ@ᑎ@ᔪᒪ@ᓪᓗᑎᑦ
ᐃᓚᐅᔪᓐᓇᕐᕕᖃᓚᐅᕐᒪᑕ	ᐃᓚ@ᐅ@ᔪᓐᓇᕐ@ᕕ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᑲᔪᓯᒍᓐᓇᓂᖃᔾᔮᖏᑦᑐᒍᑦ	ᑲᔪᓯ@ᒍᓐᓇ@ᓂ@ᖃ@ᔾᔮ@ᖏᑦ@ᑐᒍᑦ
ᒐᕙᒪᓕᕆᔨᐅᓗᑕ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᐅ@ᓗᑕ
ᖃᐅᔨᒃᑕᖅᑕᐅᕙᑉᐳᒍᑦ	ᖃᐅᔨ@ᒃ@ᑕᖅ@ᑕ@ᐅ@ᕙᑉ@ᐳᒍᑦ
ᐊᑎᕆᓪᓗᓂᐅᒃ	ᐊᑎ@ᕆ@ᓪᓗᓂᐅᒃ
ᐃᓱᒪᒍᑦ	ᐃᓱᒪ@ᒍᑦ
ᑖᑉᓱᒧᖓᓗ	ᑖᑉᓱ@ᒧᖓ@ᓗ
ᓯᓚᑦᑐᖅᓴᕐᕕᐊ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᐊ
ᑕᒪᕐᒥᓕᒫᑦᓯᐊᖅ	ᑕᒪᕐᒥ@ᓕᒫ@ᑦᓯᐊᖅ
ᐊᓪᓚᕝᕕᑦᓴᑦ	ᐊᓪᓚᕝ@ᕕ@ᑦᓴ@ᑦ
ᑲᒪᒋᖃᑕᐅᑦᑎᐊᕋᑦᑎᒍ	ᑲᒪ@ᒋ@ᖃᑕᐅ@ᑦᑎᐊ@ᕋᑦ@ᑎ@ᒍ
ᓈᒻᒪᒻᒪᖔᖅ	ᓈᒻᒪᒻ@ᒪᖔᖅ
ᐊᑲᐅᒃᓴᕐᒪᑕ	ᐊᑲᐅ@ᒃᓴᕐ@ᒪᑕ
ᐱᔨᑦᓯᕋᐅᑎᖃᕐᓂᕐᒧᑦ	ᐱ@ᔨ@ᑦᓯ@ᕋ@ᐅᑎ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᑕᐃᒪᐃᒻᒥᒻᒪᖔᖅ	ᑕᐃᒪᐃᒻ@ᒥ@ᒻᒪᖔᖅ
ᒑᓴᓖᓂᑦ	ᒑᓴᓖ@ᓂᑦ
ᐊᑲᐅᓂᖅᐸᒥᑦ	ᐊᑲᐅ@ᓂᖅᐸ@ᒥᑦ
ᓂᕆᐅᒋᔭᐅᔪᑦ	ᓂᕆᐅ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᑐᓂᔭᐅᕙᒃᐳᖅ	ᑐᓂ@ᔭ@ᐅ@ᕙᒃ@ᐳᖅ
ᐱᖁᔭᖅᑕᖃᕌᖓᑦ	ᐱ@ᖁ@ᔭᖅ@ᑕ@ᖃ@ᕌᖓᑦ
ᐊᑦᔨᒋᖏᑕᖓᓂᒃ	ᐊᑦᔨ@ᒋ@ᖏ@ᑕ@ᖓᓂᒃ
ᐃᓚᐅᒻᒥᒻᒪᑕ	ᐃᓚ@ᐅ@ᒻᒥ@ᒻᒪᑕ
ᒪᒃᐱᖅᑐᒐᖓᓂᑦ	ᒪᒃᐱᖅ@ᑐ@ᒐ@ᖓᓂᑦ
ᐱᖃᓯᐅᑦᑎᓪᓗᒋᑦ	ᐱ@ᖃ@ᓯ@ᐅᑦ@ᑎᓪᓗᒋᑦ
ᐊᔾᔨᒌᒻᒥᑦ	ᐊᔾᔨ@ᒌᒻ@ᒥᑦ
ᐊᔪᓕᕐᒪᑎᒃ	ᐊᔪ@ᓕᕐ@ᒪᑎᒃ
ᐃᒪᒻᒥᐅᑕᓕᕆᓂᕐᒧᑦ	ᐃᒪ@ᒻᒥ@ᐅᑕ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᓂᓕᐊᖓᓗ	ᓂᓕ@ᐊ@ᖓ@ᓗ
ᓴᖅᑭᖃᑦᑕᕐᒪ	ᓴᖅᑭ@ᖃᑦᑕᕐ@ᒪ
ᑕᐃᒪᐃᑕᐅᕙᑦᑐᑦ	ᑕᐃ@ᒪ@ᐃ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐅᖃᓚᐅᓯᖃᓚᐅᕐᒥᔪᑦ	ᐅᖃ@ᓚᐅ@ᓯ@ᖃ@ᓚᐅᕐ@ᒥ@ᔪᑦ
ᓯᓚᑦᑐᕐᓴᕐᕕᒃ	ᓯᓚ@ᑦᑐᕐ@ᓴᕐ@ᕕᒃ
ᕿᒧᒃᓯᖃᑦᑕᐅᑎᔪᓄᑦ	ᕿᒧᒃ@ᓯ@ᖃᑦᑕ@ᐅᑎ@ᔪ@ᓄᑦ
ᐃᙱᖅᑲᐅᖕᒪᑕ	ᐃᙱ@ᖅᑲᐅ@ᖕᒪᑕ
ᐱᕙᓪᓕᐊᖃᑎᒌᖕᓂᕐᒧᑦ	ᐱ@ᕙᓪᓕᐊ@ᖃᑎ@ᒌᖕ@ᓂᕐ@ᒧᑦ
ᒥᑭᓂᕐᓴᐅᔪᓂᒃ	ᒥᑭ@ᓂᕐᓴ@ᐅ@ᔪ@ᓂᒃ
ᐃᖅᑲᐃᔪᒪᒻᒥᔪᖓ	ᐃᖅᑲ@ᐃ@ᔪᒪ@ᒻᒥ@ᔪᖓ
ᐊᖏᕈᑕᐅᓚᐅᖅᐳᖅ	ᐊᖏ@ᕈᑕ@ᐅ@ᓚᐅᖅ@ᐳᖅ
ᑐᓴᖅᑎᑕᐅᒃᐸᑦ	ᑐᓴᖅ@ᑎ@ᑕ@ᐅ@ᒃᐸᑦ
ᓴᓇᕕᒋᔭᖓᓄᑦ	ᓴᓇ@ᕕ@ᒋ@ᔭ@ᖓᓄᑦ
ᓄᖑᓐᓂᖃᖅᑐᑦ	ᓄᖑᓐ@ᓂ@ᖃᖅ@ᑐᑦ
ᐅᒃᐱᕈᓱᑦᑐᒍᑦ	ᐅᒃᐱ@ᕈᓱᑦ@ᑐᒍᑦ
ᑲᒪᒋᔭᒃᓴᖃᑦᑐᒍᑦ	ᑲᒪ@ᒋ@ᔭ@ᒃᓴ@ᖃᑦ@ᑐᒍᑦ
ᒐᕙᒪᐅᓚᐅᖅᑐᒧᑦ	ᒐᕙᒪ@ᐅ@ᓚᐅᖅ@ᑐ@ᒧᑦ
ᑕᓗᕐᔪᐊᖓᑕ	ᑕᓗ@ᕐᔪᐊ@ᖓ@ᑕ
ᐊᑐᕈᒪᓐᓂᕈᓂᐅᒃ	ᐊᑐ@ᕈᒪ@ᓐᓂ@ᕈᓂᐅᒃ
ᐱᓕᕆᖃᑎᖃᕈᒪᓂᕐᒧᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᕈᒪ@ᓂᕐ@ᒧᑦ
ᑲᒪᒋᓪᓗᐊᑕᕐᒥᒻᒪᒍ	ᑲᒪ@ᒋ@ᓪᓗᐊ@ᑕᕐ@ᒥ@ᒻᒪᒍ
ᒥᓂᔅᑕᐅᓂᖓᓄᑦ	ᒥᓂᔅᑕ@ᐅ@ᓂ@ᖓᓄᑦ
ᒐᕙᒪᑐᖃᒃᑯᕕᖕᒥᑦ	ᒐᕙᒪ@ᑐᖃ@ᒃᑯ@ᕕᖕ@ᒥᑦ
ᑭᒻᒥᕈᕐᒥᑦ	ᑭᒻᒥᕈᕐ@ᒥᑦ
ᑕᒪᒃᑯᓇᙵᑦ	ᑕᒪᒃᑯ@ᓇᙵᑦ
ᐃᓂᓕᒃ	ᐃᓂ@ᓕᒃ
ᕿᒥᕐᕈᔭᐅᓂᖃᖅᑐᑦ	ᕿᒥᕐᕈ@ᔭ@ᐅ@ᓂ@ᖃᖅ@ᑐᑦ
ᑲᒪᔪᒪᔪᒍᑦ	ᑲᒪ@ᔪᒪ@ᔪᒍᑦ
ᐃᓕᓴᕆᔭᐅᔪᖃᒃᑲᓐᓂᖃᑦᑕᕐᓂᖃᕐᓂᖓᓂᒃ	ᐃᓕᓴ@ᕆ@ᔭ@ᐅ@ᔪ@ᖃ@ᒃᑲᓐᓂ@ᖃᑦᑕᕐ@ᓂ@ᖃᕐ@ᓂ@ᖓᓂᒃ
ᓂᓪᓕᕈᒪᓚᐅᕋᒪ	ᓂᓪᓕ@ᕈᒪ@ᓚᐅ@ᕋᒪ
ᓄᓇᖅᑲᑎᒥᓂᕋᑦᑕᐅᖅ	ᓄᓇ@ᖅᑲᑎ@ᒥᓂ@ᕋ@ᑦᑕᐅᖅ
ᑐᕌᒐᕆᔭᐅᖕᒪᑦ	ᑐᕌ@ᒐ@ᕆ@ᔭ@ᐅ@ᖕᒪᑦ
ᖃᐅᔨᒪᑦᑎᐊᒻᒪ	ᖃᐅᔨᒪ@ᑦ@ᑎᐊ@ᒻᒪ
ᐱᓕᕆᕙᓪᓕᐊᓕᕐᒪᑕ	ᐱ@ᓕᕆ@ᕙᓪᓕᐊ@ᓕᕐ@ᒪᑕ
ᐊᖏᔪᓂᒃ	ᐊᖏ@ᔪ@ᓂᒃ
ᐊᒃᑲᔅᓴᒐ	ᐊᒃᑲ@ᔅᓴ@ᒐ
ᑕᑯᔭᒐᖃᕐᕕᖓᓂᑦ	ᑕᑯ@ᔭ@ᒐ@ᖃᕐᕕ@ᖓᓂᑦ
ᖃᐃᖁᔨᓯᒪᓚᐅᖅᑐᒍᑦ	ᖃᐃ@ᖁ@ᔨ@ᓯ@ᒪ@ᓚᐅᖅ@ᑐᒍᑦ
ᓂᓕᐊᕕᖃᓗᐊᕋᑎᑦ	ᓂᓕ@ᐊ@ᕕ@ᖃ@ᓗᐊ@ᕋᑎᑦ
ᒪᕐᕈᓕᒃ	ᒪᕐᕈ@ᓕᒃ
ᕿᓂᕈᑕᐅᕙᑦᑐᑦ	ᕿᓂ@ᕈᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᓱᓇᒃᑯᑖᖃᑦᑎᖅᑎᓂᕐᒧᑦ	ᓱ@ᓇ@ᒃᑯ@ᑖ@ᖃᑦ@ᑎᖅ@ᑎ@ᓂᕐ@ᒧᑦ
ᐊᓪᓚᕝᕕᖃᕐᕕᒃᓴᐅᔪᒥᒃ	ᐊᓪᓚᕝ@ᕕ@ᖃᕐᕕ@ᒃᓴ@ᐅ@ᔪ@ᒥᒃ
ᖃᓄᓪᓚᕆᐊᓐᓄᒃ	ᖃᓄ@ᓪᓚᕆ@ᐊᓐᓄᒃ
ᐱᓕᕆᖃᑕᐅᓚᐅᖅᐳᑦ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᓚᐅᖅ@ᐳᑦ
ᖃᐅᔨᒋᐊᖁᔨᔪᑦ	ᖃᐅᔨ@ᒋᐊ@ᖁ@ᔨ@ᔪᑦ
