ᖃᖑᖅᐸᓪᓕᐊᓂᖓᓄᑦ	ᖃᖑᖅ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᐊᕐᓇᑦᓯᐊᖅ	ᐊᕐᓇ@ᑦᓯᐊᖅ
ᐃᓱᒪᓕᐊᖅ	ᐃᓱᒪ@ᓕᐊᖅ
ᐱᓕᕆᓪᓚᕆᓕᖅᑐᑦ	ᐱ@ᓕᕆ@ᓪᓚᕆ@ᓕᖅ@ᑐᑦ
ᖃᐃᑦᓯᒻᒪᑦ	ᖃᐃ@ᑦ@ᓯᒻ@ᒪᑦ
ᐊᓯᖏᓐᓂᖔᖅ	ᐊᓯ@ᖏᓐ@ᓂ@ᖔᖅ
ᐊᔪᓚᐅᕐᒪᑦ	ᐊᔪ@ᓚᐅᕐ@ᒪᑦ
ᐋᖅᑭᑎᖅᓯᒪᓂᖓᑕ	ᐋᖅᑭ@ᑎᖅ@ᓯ@ᒪ@ᓂ@ᖓᑕ
ᑐᐊᕕᕐᓇᕌᖓᑦ	ᑐᐊᕕᕐ@ᓇ@ᕌᖓᑦ
ᑕᑯᓇᒋᐊᖃᑦᑕᖓ	ᑕᑯ@ᓇ@ᒋᐊ@ᖃᑦᑕ@ᖓ
ᐃᑲᔪᒃᑲᓐᓂᕋᓱᒃᐸᒃᑐᑦ	ᐃᑲᔪ@ᒃᑲᓐᓂ@ᕋᓱᒃ@ᐸᒃ@ᑐᑦ
ᐱᖁᔭᖃᕐᖓᑕ	ᐱ@ᖁ@ᔭ@ᖃ@ᕐᖓ@ᑕ
ᐃᑲᔪᕐᑕᐅᒍᑎᑕᓕᒃ	ᐃᑲᔪᕐ@ᑕ@ᐅ@ᒍᑎ@ᑕᓕᒃ
ᑲᓱᓯᒪᓂᖅ	ᑲᓱ@ᓯ@ᒪ@ᓂᖅ
ᐊᖏᖅᑕᐅᒻᒪᖔᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᒻᒪᖔᑦ
ᐅᖃᓯᒪᔪᒍᑦ	ᐅᖃ@ᓯ@ᒪ@ᔪᒍᑦ
ᐅᕙᒐᑦᑕᐅᖅ	ᐅᕙ@ᒐ@ᑦᑕᐅᖅ
ᐊᐃᕙᔪᖃᙱᒻᒪᑦ	ᐊᐃᕙ@ᔪ@ᖃ@ᙱᒻ@ᒪᑦ
ᐃᓄᓕᒫᖅᑎᑦᑎᓂᖅ	ᐃᓄ@ᓕᒫᖅ@ᑎᑦ@ᑎ@ᓂᖅ
ᑕᑯᔪᒪᑦᓯᐊᕐᒥᔪᑦ	ᑕᑯ@ᔪᒪ@ᑦᓯᐊᕐ@ᒥ@ᔪᑦ
ᖃᐅᔨᒪᓚᐅᖅᐳᖅ	ᖃᐅᔨᒪ@ᓚᐅᖅ@ᐳᖅ
ᐊᖏᓂᖅᓴᒻᒪᕆᐅᒻᒪᑦ	ᐊᖏ@ᓂᖅᓴ@ᒻᒪᕆ@ᐅ@ᒻᒪᑦ
ᐅᐃᒋᔭᐅᔪᑦ	ᐅᐃ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᖃᐅᔨᒪᖃᑦᑕᕐᒪᑦ	ᖃᐅᔨᒪ@ᖃᑦᑕᕐ@ᒪᑦ
ᐊᑐᓕᖅᑎᑕᐅᔪᓂᑦ	ᐊᑐ@ᓕᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᓂᑦ
ᐱᕙᓪᓕᐊᕗᒍᑦ	ᐱ@ᕙᓪᓕᐊ@ᕗᒍᑦ
ᓯᕗᓂᔅᓴᒧᓪᓕ	ᓯᕗᓂ@ᔅᓴ@ᒧᓪ@ᓕ
ᓇᓗᓇᐃᕋᑖᖅᑕᖓᓄᑦ	ᓇᓗᓇ@ᐃ@ᕋᑖᖅ@ᑕ@ᖓᓄᑦ
ᖁᑦᑎᑦᓯᕙᓪᓕᐊᑉᐸᑕ	ᖁᑦ@ᑎ@ᑦᓯ@ᕙᓪᓕᐊ@ᑉᐸᑕ
ᐅᑯᓄᖓᐅᕙᑦ	ᐅᑯ@ᓄᖓ@ᐅ@ᕙᑦ
ᐱᓕᕆᖃᑕᐅᖃᑦᑕᕐᖓᑕ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᖃᑦᑕ@ᕐᖓ@ᑕ
ᓯᕗᓕᕆᔭᑦᑕ	ᓯᕗ@ᓕᕆ@ᔭᑦ@ᑕ
ᐊᕐᕌᒍᖃᖅᐸᒻᒪᑕ	ᐊᕐᕌᒍ@ᖃᖅ@ᐸᒻ@ᒪᑕ
ᑕᐅᑐᖅᑰᕐᒪᒍ	ᑕᐅᑐ@ᖅᑰᕐ@ᒪᒍ
ᓇᔪᒐᐅᔪᓐᓇᖅᑐᒥᑦ	ᓇᔪ@ᒐ@ᐅ@ᔪᓐᓇᖅ@ᑐ@ᒥᑦ
ᑎᑎᖅᑕᐅᔪᓄᑦ	ᑎᑎᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐃᒻᒪᒃᑲᓐᓂᖅ	ᐃᒻᒪ@ᒃᑲᓐᓂᖅ
ᐃᒡᓗᖁᑎᒥᒍᑦ	ᐃᒡᓗ@ᖁᑎ@ᒥᒍᑦ
ᐃᒃᐱᒍᓱᖕᓂᕐᒥᒍᑦ	ᐃᒃᐱ@ᒍᓱᖕ@ᓂᕐ@ᒥᒍᑦ
ᖃᐅᔨᕚᓪᓕᕈᑕᐅᒻᒪᑦ	ᖃᐅᔨ@ᕚᓪᓕ@ᕈᑕ@ᐅ@ᒻᒪᑦ
ᑐᓂᔭᐅᕙᒃᐳᑦ	ᑐᓂ@ᔭ@ᐅ@ᕙᒃ@ᐳᑦ
ᐃᖅᑲᕐᑐᐃᔨᓕᕆᓂᕐᒧᑦ	ᐃᖅᑲᕐ@ᑐ@ᐃ@ᔨ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐃᑲᔪᖃᑕᐅᒻᒪᑕ	ᐃᑲᔪ@ᖃᑕᐅ@ᒻᒪᑕ
ᖃᐅᔨᒃᑲᖅᑕᐅᔪᓐᓇᖅᐳᖅ	ᖃᐅᔨ@ᒃᑲᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᐳᖅ
ᑭᐅᓂᕆᓚᐅᖅᑕᖓᓄᑦ	ᑭᐅ@ᓂ@ᕆ@ᓚᐅᖅ@ᑕ@ᖓᓄᑦ
ᐃᓄᒃᑎᑑᓕᕆᓂᕐᒥᑦ	ᐃᓄᒃ@ᑎ@ᑑ@ᓕᕆ@ᓂᕐ@ᒥᑦ
ᕿᒥᕐᕈᕙᒃᐳᒍᑦ	ᕿᒥᕐᕈ@ᕙᒃ@ᐳᒍᑦ
ᓇᓄᓕᕆᕝᕕᐊᓄᑦ	ᓇᓄ@ᓕᕆ@ᕝᕕ@ᐊᓄᑦ
ᖃᐅᔨᓴᒃᑲᓐᓂᖁᔭᐅᓪᓗᓂ	ᖃᐅᔨ@ᓴ@ᒃᑲᓐᓂ@ᖁ@ᔭ@ᐅ@ᓪᓗᓂ
ᓄᓇᓕᕆᔨᐅᔪᑦ	ᓄᓇ@ᓕᕆ@ᔨ@ᐅ@ᔪᑦ
ᑕᐃᒪᐃᖁᔭᐅᒻᒪᑕ	ᑕᐃ@ᒪ@ᐃ@ᖁ@ᔭ@ᐅ@ᒻᒪᑕ
ᕿᑎᕐᒥᐅᑕᐅᔪᓂᒃ	ᕿᑎᕐ@ᒥᐅᑕ@ᐅ@ᔪ@ᓂᒃ
ᑐᔪᕐᑕᐅᔪᓂᒃ	ᑐᔪᕐ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᐃᑲᔪᕈᓐᓇᑦᓯᐊᖅᑐᑦ	ᐃᑲᔪ@ᕈᓐᓇ@ᑦᓯᐊᖅ@ᑐᑦ
ᓇᑎᐊ	ᓇᑎ@ᐊ
ᐊᔭᐅᕆᐊᖅᑕᐅᕙᑦᑐᑦ	ᐊᔭ@ᐅ@ᕆᐊᖅ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᑲᓇᑕᒥᐅᑕᐅᖃᑕᐅᓂᖓᓄᑦ	ᑲᓇᑕ@ᒥᐅᑕ@ᐅ@ᖃᑕᐅ@ᓂ@ᖓᓄᑦ
ᐱᖃᓯᐅᑎᓪᓗᓂ	ᐱ@ᖃ@ᓯ@ᐅ@ᑎᓪ@ᓗᓂ
ᐱᓕᕆᖃᑎᒋᖏᑕᕋ	ᐱ@ᓕᕆ@ᖃᑎ@ᒋ@ᖏ@ᑕ@ᕋ
ᑲᖑᖅ	ᑲᖑᖅ
ᐃᓚᐅᑉᓗᓂᓗ	ᐃᓚ@ᐅ@ᑉᓗᓂ@ᓗ
ᐱᕙᓪᓕᐊᑎᑕᐅᕗᖅ	ᐱ@ᕙᓪᓕᐊ@ᑎ@ᑕ@ᐅ@ᕗᖅ
ᓵᓚᒃᓴᕋᓱᓐᓂᖅ	ᓵᓚ@ᒃᓴ@ᕋᓱᓐ@ᓂᖅ
ᐃᓕᖅᑯᓯᖃᕈᓐᓇᕐᒪᑕ	ᐃᓕᖅᑯᓯ@ᖃ@ᕈᓐᓇᕐ@ᒪᑕ
ᓯᓚᑦᑐᖅᓴᕐᕕᖃᕐᓂᖅ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᖃᕐ@ᓂᖅ
ᒪᒃᐱᒐᖓᓂᑦ	ᒪᒃᐱ@ᒐ@ᖓᓂᑦ
ᑲᒪᒋᔭᐅᒻᒪᓐ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᒻᒪᓐ
ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐱᒍᕕᐅᒃ	ᐱ@ᒍᕕᐅᒃ
ᓴᕿᑎᑦᓯᓂᐅᔪᒧᑦ	ᓴᕿ@ᑎᑦ@ᓯ@ᓂ@ᐅ@ᔪ@ᒧᑦ
ᒪᓕᒃᑐᒡᒎᖅ	ᒪᓕᒃ@ᑐᒡ@ᒎᖅ
ᐋᖅᑭᑦᑕᐅᓐᓂᕐᒪᖔᑕ	ᐋᖅᑭᑦ@ᑕ@ᐅ@ᓐᓂᕐ@ᒪᖔᑕ
ᐱᔾᔪᓯᖓᓂᑦ	ᐱ@ᔾᔪᓯ@ᖓᓂᑦ
ᑎᑭᑦᑐᖃᓚᐅᕐᒪᑦ	ᑎᑭᑦ@ᑐ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᑐᙵᕕᒋᔭᐅᓪᓗᐊᑕᕐᒪᑕ	ᑐᙵ@ᕕ@ᒋ@ᔭ@ᐅ@ᓪᓗᐊ@ᑕᕐ@ᒪᑕ
ᕿᑎᓚᐅᕐᒪᑕ	ᕿᑎ@ᓚᐅᕐ@ᒪᑕ
ᐃᖏᕐᕋᕙᓪᓕᐊᒍᓐᓇᖅᓯᕗᑦ	ᐃᖏᕐᕋ@ᕙᓪᓕᐊ@ᒍᓐᓇᖅ@ᓯ@ᕗᑦ
ᓴᖅᑭᑦᑎᕙᓪᓕᐊᖃᑕᐅᓗᑎᑦ	ᓴᖅᑭᑦ@ᑎ@ᕙᓪᓕᐊ@ᖃᑕᐅ@ᓗᑎᑦ
ᐱᑦᔪᑕᐅᔪᓂᒃ	ᐱ@ᑦᔪᑕ@ᐅ@ᔪ@ᓂᒃ
ᑐᓂᔭᐅᔪᒃᓴᓪᓗ	ᑐᓂ@ᔭ@ᐅ@ᔪᒃᓴ@ᓪ@ᓗ
ᓇᖕᒥᓂᖃᐅᑎᓄᑦ	ᓇᖕᒥᓂ@ᖃᐅᑎ@ᓄᑦ
ᓈᓴᐃᓂᐅᒻᒪᑦ	ᓈ@ᓴ@ᐃ@ᓂ@ᐅ@ᒻᒪᑦ
ᒫᓐᓇᓵᖅ	ᒫᓐᓇ@ᓵᖅ
ᑐᓚᒃᑕᕐᕕᖃᙱᑦᑐᑦ	ᑐᓚᒃᑕᕐᕕ@ᖃ@ᙱᑦ@ᑐᑦ
ᑕᑯᓚᐅᖅᑐᒍᑦ	ᑕᑯ@ᓚᐅᖅ@ᑐᒍᑦ
ᐃᓕᓐᓂᐊᑎᐊᓂᕐᒧᑦ	ᐃᓕᓐᓂᐊᑎ@ᐊ@ᓂᕐ@ᒧᑦ
ᐅᐸᒐᖁᑎᒋᔭᐅᔪᓄᑦ	ᐅᐸ@ᒐ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᐱᓕᕆᕝᕕᖓᑎᒍᑦ	ᐱ@ᓕᕆ@ᕝᕕ@ᖓᑎᒍᑦ
ᐃᑲᔪᖅᓯᒍᑕᐅᔪᒥᒃ	ᐃᑲᔪᖅ@ᓯ@ᒍᑕ@ᐅ@ᔪ@ᒥᒃ
ᑕᖅᑭᑕᒫᒧᑦ	ᑕᖅᑭ@ᑕᒫ@ᒧᑦ
ᑐᕌᖓᓪᓗᐊᕐᒪᑦ	ᑐᕌ@ᖓ@ᓪᓗᐊᕐ@ᒪᑦ
ᒪᓕᑉᐸᑉᐳᖅ	ᒪᓕᑉ@ᐸᑉ@ᐳᖅ
ᐅᓄᖅᑐᐊᓗᖕᒥᑦ	ᐅᓄᖅ@ᑐ@ᐊᓗᖕ@ᒥᑦ
ᐊᑭᑦᑐᕋᐅᑎᔾᔪᑕᐅᕙᒃᑐᑦ	ᐊᑭ@ᑦᑐ@ᕋ@ᐅᑎ@ᔾᔪᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᓯᓚᑦᑐᖅᓴᕐᕕᐊᑕ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᐊ@ᑕ
ᐸᓴᒍᓱᒃᑐᑦ	ᐸᓴ@ᒍᓱᒃ@ᑐᑦ
ᐃᖏᒍᓐᓇᕋᕕᑦ	ᐃᖏ@ᒍᓐᓇ@ᕋᕕᑦ
ᐊᒃᑕᕐᓇᕐᒪᑕ	ᐊᒃᑕᕐ@ᓇᕐ@ᒪᑕ
ᐃᓄᒃᔪᐊᕐᒥᑦ	ᐃᓄᒃᔪᐊᕐ@ᒥᑦ
ᖁᕕᐊᓱᖃᑎᒌᓪᓗᑕ	ᖁᕕᐊ@ᓱ@ᖃᑎ@ᒌᓪ@ᓗᑕ
ᐊᓪᓚᕝᕕᖕᒧᑦ	ᐊᓪᓚᕝ@ᕕᖕ@ᒧᑦ
ᐋᖅᑭᒋᐊᕈᑕᐅᓚᐅᖅᑐᑦ	ᐋᖅᑭ@ᒋᐊ@ᕈᑕ@ᐅ@ᓚᐅᖅ@ᑐᑦ
ᓯᕐᓗᐊᒃᓴᒧᑦ	ᓯᕐᓗᐊ@ᒃᓴ@ᒧᑦ
ᐊᒻᒪᖅᑎᕆᓪᓗᖓ	ᐊᒻᒪᖅ@ᑎ@ᕆᓪ@ᓗᖓ
ᑭᕙᓪᓕᓕᒫᖅ	ᑭᕙᓪᓕ@ᓕᒫᖅ
ᐱᓕᕆᕕᓪᓗᐊᕕᓐᓂᖅ	ᐱ@ᓕᕆ@ᕕ@ᓪᓗᐊ@ᕕᓐ@ᓂᖅ
ᑲᒪᔨᒋᔭᐅᓚᐅᕐᒪᑕ	ᑲᒪ@ᔨ@ᒋ@ᔭ@ᐅ@ᓚᐅᕐ@ᒪᑕ
ᐊᐱᕆᔪᒪᔭ	ᐊᐱᕆ@ᔪᒪ@ᔭ
ᐊᐃᒃᐸᕆᔭᖓᓄᑦ	ᐊᐃᒃᐸ@ᕆ@ᔭ@ᖓᓄᑦ
ᖃᑦᑎᕆᔨᒻᒪᕆᒃ	ᖃᑦᑎ@ᕆ@ᔨ@ᒻᒪᕆᒃ
ᑐᓴᕈᒪᖁᔨᔪᒧᑦ	ᑐᓴ@ᕈᒪ@ᖁ@ᔨ@ᔪ@ᒧᑦ
ᐊᒻᒪᑕᐅᖅ	ᐊᒻᒪ@ᑕᐅᖅ
ᓇᑲᑕᕐᓂᕐᒧᑦ	ᓇᑲᑕᕐ@ᓂᕐ@ᒧᑦ
ᐱᖁᔭᒥ	ᐱ@ᖁ@ᔭ@ᒥ
ᐊᐱᖅᓱᕈᒪᖅᑰᕐᒥᒻᒪᑕ	ᐊᐱᖅ@ᓱ@ᕈᒪ@ᖅᑰᕐ@ᒥ@ᒻᒪᑕ
ᓄᓇᕗᒻᒥᐅᒥᑦ	ᓄᓇᕗᒻ@ᒥᐅ@ᒥᑦ
ᐊᓚᒃᑲᐃᕙᓪᓕᐊᒍᓐᓇᕐᒪᖔᑦᑕ	ᐊᓚ@ᒃᑲ@ᐃ@ᕙᓪᓕᐊ@ᒍᓐᓇᕐ@ᒪᖔᑦᑕ
ᐃᓪᓗᖃᖅᐳᒍᑦ	ᐃᓪᓗ@ᖃᖅ@ᐳᒍᑦ
ᓄᖅᑲᕈᒪᓕᕐᒪᑕ	ᓄᖅᑲ@ᕈᒪ@ᓕᕐ@ᒪᑕ
ᐋᒡᒋᓯᓕᒫᖅ	ᐋᒡᒋᓯ@ᓕᒫᖅ
ᐱᓕᕆᖃᑎᒌᓂᓴᐅᓗᑕ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌ@ᓂᓴ@ᐅ@ᓗᑕ
ᐊᑐᓕᖅᑎᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᑐ@ᓕᖅ@ᑎ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐅᔾᔨᕐᓇᕐᒪᑕ	ᐅᔾᔨᕐ@ᓇᕐ@ᒪᑕ
ᐱᔾᔪᑕᐅᕙᑦ	ᐱ@ᔾᔪᑕ@ᐅ@ᕙᑦ
ᐃᓚᒃᓴᐅᔪᓄᑦ	ᐃᓚ@ᒃᓴ@ᐅ@ᔪ@ᓄᑦ
ᑭᐅᕙᓪᓚᐃᓐᓂᕋᒪ	ᑭᐅ@ᕙᓪᓚᐃ@ᓐᓂ@ᕋᒪ
ᐃᖅᑲᖅᑐᐃᔨᓄᑦ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ@ᓄᑦ
ᓴᓇᓂᖏᒃᑯᑦᑕ	ᓴᓇ@ᓂ@ᖏᒃ@ᑯᑦᑕ
ᐃᔭᒐᐅᒧᑦ	ᐃᔭᒐ@ᐅ@ᒧᑦ
ᑕᒪᒃᓱᒪᓂ	ᑕᒪᒃᓱ@ᒪᓂ
ᑕᑯᔭᒃᓴᐅᒻᒪᑕ	ᑕᑯ@ᔭ@ᒃᓴ@ᐅ@ᒻᒪᑕ
ᓄᕕᖅᓴᒐᐅᔪᓂᒃ	ᓄᕕᖅᓴ@ᒐ@ᐅ@ᔪ@ᓂᒃ
ᓈᒻᒪᑦᑐᒻᒪᕆᐅᓪᓗᓂ	ᓈᒻᒪᑦ@ᑐ@ᒻᒪᕆ@ᐅ@ᓪᓗᓂ
ᑕᒪᕐᒥᖏᓛᖅ	ᑕᒪᕐᒥ@ᖏ@ᓛᖅ
ᑐᕌᓗᐊᖅᑐᑦ	ᑐᕌ@ᓗᐊᖅ@ᑐᑦ
ᐅᒃᐱᕈᓱᒃᑐᑦ	ᐅᒃᐱ@ᕈᓱᒃ@ᑐᑦ
ᑕᑯᕙᓪᓗᓂ	ᑕᑯ@ᕙᓪ@ᓗᓂ
ᖃᐅᔨᒐᓱᖕᓂᖅ	ᖃᐅᔨ@ᒐᓱᖕ@ᓂᖅ
ᐊᑐᓕᖅᑕᐅᔪᓐᓇᕐᒪᖔᑕ	ᐊᑐ@ᓕᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᑕ
ᓴᓇᔭᒥᓂᖓᓂᑦ	ᓴᓇ@ᔭ@ᒥᓂ@ᖓᓂᑦ
ᐊᕐᕌᒍᖁᑎᒋᔭᐅᖕᒪᑦ	ᐊᕐᕌᒍ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᑦ
ᐃᓚᒋᕙᐅᑦ	ᐃᓚ@ᒋ@ᕙ@ᐅᑦ
ᐃᑦᑐᕋ	ᐃᑦᑐ@ᕋ
ᐊᖏᖁᔭᐅᓪᓗᓂ	ᐊᖏ@ᖁ@ᔭ@ᐅ@ᓪᓗᓂ
ᐱᖃᓐᓇᕆᔭᑐᖃᕋ	ᐱᖃᓐᓇᕆᔭ@ᑐᖃ@ᕋ
ᓄᓇᕗᒻᒥᐅᒧᑦ	ᓄᓇᕗᒻ@ᒥᐅ@ᒧᑦ
ᑎᒡᓕᑦᑕᐅᑉᐸᑦ	ᑎᒡᓕᑦ@ᑕ@ᐅ@ᑉᐸᑦ
ᐊᓄᕆᕐᔪᐊᖅᑐᒧᑦ	ᐊᓄᕆ@ᕐᔪᐊᖅ@ᑐ@ᒧᑦ
ᖃᐅᔨᒐᓱᐊᖃᑦᑕᓂᕐᒧᑦ	ᖃᐅᔨ@ᒐᓱᐊ@ᖃᑦᑕ@ᓂᕐ@ᒧᑦ
ᐱᓇᓱᐊᕈᓯᖓᑦ	ᐱᓇᓱᐊᕈᓯ@ᖓᑦ
ᑑᓂᖅᓴᓂ	ᑑ@ᓂᖅ@ᓴ@ᓂ
ᕿᑐᕐᖓᖃᐅᕈᑦᑕ	ᕿᑐᕐᖓ@ᖃᐅ@ᕈᑦᑕ
ᐊᐱᖅᓱᕈᒪᒻᒥᒐᒪ	ᐊᐱᖅ@ᓱ@ᕈᒪ@ᒻᒥ@ᒐᒪ
ᐱᓕᕆᔨᐅᓂᕋᖅᑕᓯ	ᐱ@ᓕᕆ@ᔨ@ᐅ@ᓂᕋᖅ@ᑕ@ᓯ
ᑕᐅᖕᓇᓗ	ᑕᐅᖕᓇ@ᓗ
ᓴᙱᑎᑦᑎᒋᐊᖅᐳᖅ	ᓴᙱ@ᑎᑦ@ᑎ@ᒋᐊᖅ@ᐳᖅ
ᐊᐱᕆᑲᐃᓐᓇᕈᒪᓕᕐᒥᔪᖓ	ᐊᐱᕆ@ᑲᐃᓐᓇ@ᕈᒪ@ᓕᕐ@ᒥ@ᔪᖓ
ᓴᖅᑭᓐᓇᖅ	ᓴᖅᑭᓐ@ᓇᖅ
ᕿᑐᕐᖓᖃᓕᖅᑐᑦ	ᕿᑐᕐᖓ@ᖃ@ᓕᖅ@ᑐᑦ
ᐊᓪᓚᓪᓗᓂ	ᐊᓪᓚᓪ@ᓗᓂ
ᓴᕿᓯᒪᒪᑕ	ᓴᕿ@ᓯᒪ@ᒪ@ᑕ
ᐱᐊᓂᓚᐅᕐᒪᑕ	ᐱ@ᐊᓂ@ᓚᐅᕐ@ᒪᑕ
ᒐᕙᒪᖃᖅᑐᑦ	ᒐᕙᒪ@ᖃᖅ@ᑐᑦ
ᐅᐱᒋᔭᖃᑦᑐᑦ	ᐅᐱ@ᒋ@ᔭ@ᖃᑦ@ᑐᑦ
ᐃᓗᕕᕆᑉᐸᒍ	ᐃᓗᕕ@ᕆ@ᑉᐸᒍ
ᐊᓯᔾᔨᖅᑕᐅᔪᓂᑦ	ᐊᓯ@ᔾᔨᖅ@ᑕ@ᐅ@ᔪ@ᓂᑦ
ᐱᕈᕈᑕᐅᕗᖅ	ᐱᕈ@ᕈᑕ@ᐅ@ᕗᖅ
ᐅᓄᖅᓯᕙᓪᓕᐊᓕᖅᑐᑦ	ᐅᓄᖅ@ᓯ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᑭᐳᓪᓗᑕ	ᑭᐳᓪ@ᓗᑕ
ᐊᒃᑐᐃᔪᒥᒃ	ᐊᒃᑐ@ᐃ@ᔪ@ᒥᒃ
ᖁᕕᐊᓱᖁᑦᑎᐊᕐᐸᒃᑲ	ᖁᕕᐊ@ᓱ@ᖁ@ᑦᑎᐊᕐ@ᐸ@ᒃᑲ
ᓄᓇᖓᓗ	ᓄᓇ@ᖓ@ᓗ
ᒪᕐᕈᒻᒪᕆᐅᕘ	ᒪᕐᕈ@ᒻᒪᕆ@ᐅ@ᕘ
ᕗᐊᑕᓐ	ᕗᐊᑕᓐ
ᐊᐅᓚᑕᐅᓚᐅᕐᒪᑦ	ᐊᐅᓚ@ᑕ@ᐅ@ᓚᐅᕐ@ᒪᑦ
ᓴᓇᒐᓱᐊᕐᓂᕐᒥᑦ	ᓴᓇ@ᒐᓱᐊᕐ@ᓂᕐ@ᒥᑦ
ᓄᖅᑲᓕᖅᑎᓪᓗᒋᑦ	ᓄᖅᑲ@ᓕᖅ@ᑎᓪᓗᒋᑦ
ᐊᐱᕆᔭᐅᔪᓐᓇᕐᒥᔪᑦ	ᐊᐱᕆ@ᔭ@ᐅ@ᔪᓐᓇᕐ@ᒥ@ᔪᑦ
ᓂᕿᓕᕆᕝᕕᖓᑦ	ᓂᕿ@ᓕᕆ@ᕝᕕ@ᖓᑦ
ᐱᓕᕆᖃᑎᒌᒐᓱᖃᑦᑕᖅᑐᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌ@ᒐᓱ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᕿᒥᕐᕈᓇᒃᑕᐅᓪᓗᓂ	ᕿᒥᕐᕈ@ᓇᒃ@ᑕ@ᐅ@ᓪᓗᓂ
ᑭᐅᒍᓐᓇᖏᒻᒪᑕ	ᑭᐅ@ᒍᓐᓇᖏᒻ@ᒪᑕ
ᐅᓄᖅᑐᒻᒪᕆᐅᖕᒪᑦ	ᐅᓄᖅ@ᑐ@ᒻᒪᕆ@ᐅ@ᖕᒪᑦ
ᐃᑲᔪᓚᐅᕐᓂᖓᓄᑦ	ᐃᑲᔪ@ᓚᐅᕐ@ᓂ@ᖓᓄᑦ
ᐊᑭᓕᔅᓴᐅᒋᕙᑦ	ᐊᑭ@ᓕ@ᔅᓴ@ᐅ@ᒋ@ᕙᑦ
ᒪᑯᐊᓕᑭᐊ	ᒪᑯᐊ@ᓕ@ᑭᐊ
ᓇᓗᓇᐃᕈᓐᓇᖅᐱᐅ	ᓇᓗᓇ@ᐃ@ᕈᓐᓇᖅ@ᐱᐅ
ᐃᓕᖅᑯᓯᑯᓗᐊᓂᑦ	ᐃᓕᖅᑯᓯ@ᑯᓗ@ᐊᓂᑦ
ᑕᐃᒪᐃᒍᓐᓇᖅᐹᑦ	ᑕᐃᒪᐃ@ᒍᓐᓇᖅ@ᐹᑦ
ᑐᑭᖃᓕᖅᐳᖅ	ᑐᑭ@ᖃ@ᓕᖅ@ᐳᖅ
ᐅᑎᖅᑎᑕᐅᓪᓗᓂᓗ	ᐅᑎᖅ@ᑎ@ᑕ@ᐅ@ᓪᓗᓂ@ᓗ
ᐊᓯᑦᔨᖁᔨᓂᕐᒧᑦ	ᐊᓯ@ᑦᔨ@ᖁ@ᔨ@ᓂᕐ@ᒧᑦ
ᐊᑭᑦᑐᕆᐊᖅᑐᒥᓂᐅᖅᑰᖅᐳᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊᖅ@ᑐ@ᒥᓂ@ᐅ@ᖅᑰᖅ@ᐳᑦ
ᐊᐱᕆᖅᑰᕐᒪᖔ	ᐊᐱᕆ@ᖅᑰᕐ@ᒪᖔ
ᓴᐳᒻᒥᓗᒋ	ᓴᐳ@ᒻ@ᒥ@ᓗ@ᒋ
ᖁᕕᐊᓱᒍᑎᖃᕐᓂᕐᒥᑦ	ᖁᕕᐊ@ᓱ@ᒍᑎ@ᖃᕐ@ᓂᕐ@ᒥᑦ
ᐱᔾᔪᑎᓕᑦ	ᐱ@ᔾᔪᑎ@ᓕᑦ
ᑕᐅᕙᒃᑯᐊᓕ	ᑕᐅᕙᒃᑯᐊ@ᓕ
